2025-03-17 07:09:22 [main] INFO  verifyOrder - Starting test setup for: verifyOrder
2025-03-17 07:09:51 [main] INFO  verifyOrder - Navigated to the site: https://demo.nopcommerce.com
2025-03-17 07:09:51 [main] INFO  verifyOrder - Injected cookie: _ga
2025-03-17 07:09:51 [main] INFO  verifyOrder - Injected cookie: cf_clearance
2025-03-17 07:09:51 [main] INFO  verifyOrder - Injected cookie: .Nop.Antiforgery
2025-03-17 07:09:51 [main] INFO  verifyOrder - Injected cookie: .Nop.Customer
2025-03-17 07:09:51 [main] INFO  verifyOrder - Injected cookie: .Nop.Culture
2025-03-17 07:09:51 [main] INFO  verifyOrder - Injected cookie: _ga_SCT41TW89V
2025-03-17 07:09:52 [main] INFO  verifyOrder - Page refreshed with bypassed cookies.
2025-03-17 07:10:23 [main] INFO  verifyOrder - Closing the browser for test: verifyOrder
2025-03-17 07:10:24 [main] INFO  verifyOrder - Browser closed.
